tab,date,customer,category,value,unit,is_estimate,version,metadata
customer-detail,25.01,SEC,monthly_waferInput,,Km²,0,current,
customer-detail,25.01,SEC,monthly_purchaseVolume,,Km²,0,current,
customer-detail,25.01,SEC,monthly_inventoryMonths,,months,0,current,
customer-detail,25.01,SEC,monthly_utilization,,%,0,current,
customer-detail,25.01,SEC,monthly_inventoryLevel,,months,0,current,
customer-detail,25.01,SEC,monthly_capa,,Km²,0,current,
customer-detail,25.01,SEC,monthly_dramRatio,,ratio,0,current,
customer-detail,25.02,SEC,monthly_waferInput,,Km²,0,current,
customer-detail,25.02,SEC,monthly_purchaseVolume,,Km²,0,current,
customer-detail,25.02,SEC,monthly_inventoryMonths,,months,0,current,
customer-detail,25.02,SEC,monthly_utilization,,%,0,current,
customer-detail,25.02,SEC,monthly_inventoryLevel,,months,0,current,
customer-detail,25.02,SEC,monthly_capa,,Km²,0,current,
customer-detail,25.02,SEC,monthly_dramRatio,,ratio,0,current,
