tab,date,customer,category,value,unit,is_estimate,version,metadata
supply-chain,2025-01,ddr4_8g_pc,memory_price,,$,0,8GB DDR4 DIMM (PC),
supply-chain,2025-01,ddr4_16g_pc,memory_price,,$,0,16GB DDR4 DIMM (PC),
supply-chain,2025-01,ddr4_32g_srv,memory_price,,$,0,32GB DDR4 RDIMM (SERVER),
supply-chain,2025-01,lpddr4_8g,memory_price,,$,0,8GB LPDDR4 (SMP),
supply-chain,2025-01,lpddr4_12g,memory_price,,$,0,12GB LPDDR4 (SMP),
supply-chain,2025-01,ddr5_16g,memory_price,,$,0,16GB DDR5 DIMM,
supply-chain,2025-01,ddr5_64g,memory_price,,$,0,64GB DDR5 RDIMM,
supply-chain,2025-01,ddr5_96g_srv,memory_price,,$,0,96GB DDR5 RDIMM (SERVER),
supply-chain,2025-01,ddr5_128g_srv,memory_price,,$,0,128GB DDR5 RDIMM (SERVER),
supply-chain,2025-01,ddr5_256g_srv,memory_price,,$,0,256GB DDR5 RDIMM (SERVER),
supply-chain,2025-01,lpddr5_8g,memory_price,,$,0,8GB LPDDR5 (SMP),
supply-chain,2025-01,lpddr5_12g,memory_price,,$,0,12GB LPDDR5 (SMP),
supply-chain,2025-01,nand_256g_tlc,memory_price,,$,0,NAND Price 256Gb TLC Wafer,
supply-chain,2025-01,nand_512g_tlc,memory_price,,$,0,NAND Price 512Gb TLC Wafer,
supply-chain,2025-01,nand_1t_qlc,memory_price,,$,0,NAND Price 1Tb QLC Wafer,
