tab,date,customer,category,value,unit,is_estimate,version,metadata
supply-chain,2025-01,SEC,internal_capa,,K/M,0,SEC,
supply-chain,2025-01,SEC,internal_waferInput,,K/M,0,SEC,
supply-chain,2025-01,SEC,internal_utilization,,%,0,SEC,
supply-chain,2025-01,SK Hynix,internal_capa,,K/M,0,SK Hynix,
supply-chain,2025-01,SK Hynix,internal_waferInput,,K/M,0,SK Hynix,
supply-chain,2025-01,SK Hynix,internal_utilization,,%,0,SK Hynix,
supply-chain,2025-01,Micron,internal_capa,,K/M,0,Micron,
supply-chain,2025-01,Micron,internal_waferInput,,K/M,0,Micron,
supply-chain,2025-01,Micron,internal_utilization,,%,0,Micron,
supply-chain,2025-01,TSMC,internal_capa,,K/M,0,TSMC,
supply-chain,2025-01,TSMC,internal_waferInput,,K/M,0,TSMC,
supply-chain,2025-01,TSMC,internal_utilization,,%,0,TSMC,
supply-chain,2025-01,SMIC,internal_capa,,K/M,0,SMIC,
supply-chain,2025-01,SMIC,internal_waferInput,,K/M,0,SMIC,
supply-chain,2025-01,SMIC,internal_utilization,,%,0,SMIC,
supply-chain,2025-01,GFs,internal_capa,,K/M,0,GFs,
supply-chain,2025-01,GFs,internal_waferInput,,K/M,0,GFs,
supply-chain,2025-01,GFs,internal_utilization,,%,0,GFs,
